"","NUME","CMR","Data","Temp"
"86","Stana de Vale","Banat-Crisana","X1961.01.01",5.0567946434021
"87","Joseni","TransilvaniaS","X1961.01.01",5.71712350845337
"88","Sarmasu","TransilvaniaS","X1961.01.01",8.60180854797363
"89","Holod","Banat-Crisana","X1961.01.01",10.7148494720459
"90","Vladeasa 1800","TransilvaniaN","X1961.01.01",4.84210968017578
"91","Cluj-Napoca","TransilvaniaN","X1961.01.01",9.53942489624023
"92","Negresti","Moldova","X1961.01.01",9.47421932220459
"93","Roman","Moldova","X1961.01.01",9.49167156219482
"94","Ceahlau Toaca","Moldova","X1961.01.01",7.21194505691528
"95","Piatra Neamt","Moldova","X1961.01.01",9.05967140197754
"96","Borod","Banat-Crisana","X1961.01.01",9.43161678314209
"97","Oradea","Banat-Crisana","X1961.01.01",10.7834520339966
"98","Bistrita","TransilvaniaN","X1961.01.01",7.7667670249939
"99","Dej","TransilvaniaN","X1961.01.01",9.59274005889893
"100","Iasi","Moldova","X1961.01.01",10.0027122497559
"101","Zalau","TransilvaniaN","X1961.01.01",9.55065727233887
"102","Cotnari","Moldova","X1961.01.01",9.50504112243652
"103","Supuru de Jos","TransilvaniaN","X1961.01.01",10.378246307373
"104","Iezer","TransilvaniaN","X1961.01.01",3.38117814064026
"105","Suceava","Moldova","X1961.01.01",8.38021945953369
"106","Baia Mare","TransilvaniaN","X1961.01.01",8.7519998550415
"107","Botosani","Moldova","X1961.01.01",9.55898666381836
"108","Satu Mare","TransilvaniaN","X1961.01.01",10.1792879104614
"109","Radauti","Moldova","X1961.01.01",7.80441093444824
"110","Sighetul Marmatiei","TransilvaniaN","X1961.01.01",8.20227432250977
"111","Zimnicea","Muntenia","X1962.01.01",11.4895896911621
"112","Turnu Magurele","Muntenia","X1962.01.01",10.9310932159424
"113","Bechet","Oltenia","X1962.01.01",11.3007106781006
"114","Mangalia","Dobrogea","X1962.01.01",11.9302463531494
"115","Giurgiu","Muntenia","X1962.01.01",11.5249996185303
"116","Calafat","Oltenia","X1962.01.01",11.2669668197632
"117","Alexandria","Muntenia","X1962.01.01",11.3245086669922
"118","Bailesti","Oltenia","X1962.01.01",11.2284421920776
"119","Caracal","Oltenia","X1962.01.01",11.0398082733154
"120","Rosiori de Vede","Muntenia","X1962.01.01",11.0584697723389
"121","Calarasi","Dobrogea","X1962.01.01",11.3098363876343
"122","Constanta","Dobrogea","X1962.01.01",11.7456283569336
"123","Craiova","Oltenia","X1962.01.01",10.6205739974976
"124","Medgidia","Dobrogea","X1962.01.01",11.4534425735474
"125","Videle","Muntenia","X1962.01.01",10.7840709686279
"126","Slatina","Oltenia","X1962.01.01",10.7648906707764
"127","Baneasa","Muntenia","X1962.01.01",10.8950548171997
"128","Slobozia","Dobrogea","X1962.01.01",11.0360927581787
"129","Stolnici","Muntenia","X1962.01.01",10.4106283187866
"130","Drobeta Turnu-Severin","Oltenia","X1962.01.01",11.2481966018677
"131","Titu","Muntenia","X1962.01.01",10.3570766448975
"132","Urziceni","Muntenia","X1962.01.01",10.8495082855225
"133","Moldova Veche","Banat-Crisana","X1962.01.01",11.1457376480103
"134","Dragasani","Oltenia","X1962.01.01",10.2137155532837
"135","Grivita","Dobrogea","X1962.01.01",10.8986883163452
"136","Jurilovca","Dobrogea","X1962.01.01",11.6341800689697
"137","Pitesti","Muntenia","X1962.01.01",10.0098361968994
"138","Tg. Logresti","Oltenia","X1962.01.01",10.112322807312
"139","Sf. Gheorghe","Dobrogea","X1962.01.01",12.096339225769
"140","Targoviste","Muntenia","X1962.01.01",9.8587703704834
"141","Ploiesti","Muntenia","X1962.01.01",10.3225679397583
"142","Moraresti","Muntenia","X1962.01.01",9.47338771820068
"143","Apa Neagra","Oltenia","X1962.01.01",10.5080327987671
"144","Oravita","Banat-Crisana","X1962.01.01",10.3629512786865
"145","Tg. Jiu","Oltenia","X1962.01.01",10.4017763137817
"146","Ramnicu Valcea","Oltenia","X1962.01.01",9.6833610534668
"147","Semenic","Banat-Crisana","X1962.01.01",6.0118579864502
"148","Curtea de Arges","Muntenia","X1962.01.01",9.15330600738525
"149","Buzau","Muntenia","X1962.01.01",10.6728143692017
"150","Sulina","Dobrogea","X1962.01.01",11.8441801071167
"151","Tulcea","Dobrogea","X1962.01.01",11.2890167236328
"152","Gorgova","Dobrogea","X1962.01.01",11.5580053329468
"153","Braila","Dobrogea","X1962.01.01",10.9628419876099
"154","Tarcu","Banat-Crisana","X1962.01.01",4.96521854400635
"155","Campulung Muscel","Muntenia","X1962.01.01",8.38991832733154
"156","Resita","Banat-Crisana","X1962.01.01",10.2637977600098
"157","Patarlagele","Muntenia","X1962.01.01",8.91997241973877
"158","Banloc","Banat-Crisana","X1962.01.01",10.7895078659058
"159","Parang","Oltenia","X1962.01.01",6.2753005027771
"160","Sinaia 1500","Muntenia","X1962.01.01",4.85612010955811
"161","Ramnicu Sarat","Muntenia","X1962.01.01",10.2390165328979
"162","Caransebes","Banat-Crisana","X1962.01.01",10.1625680923462
"163","Petrosani","Oltenia","X1962.01.01",6.8458194732666
"164","Vf. Omu","Muntenia","X1962.01.01",4.85612010955811
"165","Fundata","Muntenia","X1962.01.01",4.07718563079834
"166","Predeal","Muntenia","X1962.01.01",4.64183044433594
"167","Galati","Moldova","X1962.01.01",10.6751365661621
"168","Lugoj","Banat-Crisana","X1962.01.01",10.2413663864136
"169","Intorsura Buzaului","Muntenia","X1962.01.01",6.10071039199829
"170","Focsani","Moldova","X1962.01.01",10.4356832504272
"171","Brasov","TransilvaniaS","X1962.01.01",7.72540998458862
"172","Timisoara","Banat-Crisana","X1962.01.01",10.3616123199463
"173","Sibiu","TransilvaniaS","X1962.01.01",8.38713073730469
"174","Fagaras","TransilvaniaS","X1962.01.01",8.17915344238281
"175","Lacauti","TransilvaniaS","X1962.01.01",2.88232231140137
"176","Tecuci","Moldova","X1962.01.01",10.3275136947632
"177","Sf. Gheorghe","TransilvaniaS","X1962.01.01",7.18874311447144
"178","Deva","Banat-Crisana","X1962.01.01",9.45040988922119
"179","Sebes","TransilvaniaS","X1962.01.01",9.40841484069824
"180","Tg. Seciuesc","TransilvaniaS","X1962.01.01",7.17393445968628
"181","Sannicolau Mare","Banat-Crisana","X1962.01.01",10.3396444320679
"182","Alba Iulia","TransilvaniaS","X1962.01.01",9.51505470275879
"183","Baraolt","TransilvaniaS","X1962.01.01",7.11013650894165
"184","Adjud","Moldova","X1962.01.01",9.85551929473877
"185","Arad","Banat-Crisana","X1962.01.01",10.0721855163574
